source_row_number,question_number_label,kisi_kisi,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,block,topic,parsing_notes
11,51,ENDOKRIN,Seorang wanita (50 thn) penderita Gagal Ginjal Kronis Stadium 5 yang rutin hemodialisis juga menderita hipotiroidisme dan mengonsumsi Levotiroksin. Perawat menanyakan parameter pemantauan yang krusial pada pasien dengan kondisi gabungan ini. Apa parameter yang perlu dipantau secara ketat pada pasien CKD dengan gangguan tiroid yang sedang menjalani terapi?,Fosfat dan TSH,Magnesium,Kalsitonin,Albumin urin,Aldosteron,A,"Pada CKD stadium lanjut perlu memantau gangguan mineral seperti fosfat, sedangkan efektivitas levotiroksin terutama dipantau dengan TSH.",,,
12,52,ENDOKRIN,"Seorang pasien wanita 45 tahun dengan DM tipe 2 mengeluhkan perut sering kembung, buang angin berlebih, pusing, berat badan naik, hingga diare ringan setelah mengonsumsi obatnya. Ia sudah minum metformin dan glibenklamid selama 2 minggu. Mana yang merupakan efek samping umum penggunaan metformin?",GIT disturbance,Berat badan naik,Pusing,Retinopati,Hipoglikemik berat,A,"Efek samping metformin yang paling sering adalah gangguan saluran cerna seperti mual, diare, kembung, dan nyeri perut. Metformin juga tidak lazim menyebabkan kenaikan berat badan atau hipoglikemia berat bila digunakan sendiri.",,,
13,53,ENDOKRIN,Seorang ibu hamil 29 tahun dengan diabetes mellitus tipe 1 sedang hamil 24 minggu. Ibu tersebut kemudian berkonsultasi apakah ia perlu mengubah terapinya. Dokter merencanakan pengaturan terapi insulin untuk menjaga kadar glukosa darah tetap stabil. Jenis insulin apa yang menjadi pilihan lini pertama untuk ibu hamil dengan DM tipe 1?,Detemir,Glargin,Degludec,Short acting,Lispro,A,"Pada DM tipe 1 saat hamil, insulin tetap menjadi terapi utama. Detemir termasuk basal insulin yang memiliki data keamanan kehamilan lebih baik dibanding beberapa basal analog lain.",,,
14,54,ENDOKRIN,"Seorang pria (45 thn) dengan Diabetes Tipe 1 rutin menyuntikkan insulin di titik yang sama pada perut bagian kanan. Muncul benjolan kecil di area tersebut, mengakibatkan penyerapan insulin terganggu dan gula darah tidak stabil. Apa alasan utama penyuntikan insulin tidak boleh selalu di tempat yang sama?",Menyebabkan urtikaria,Menimbulkan lipodistrofi,Mengurangi efektivitas insulin secara kimiawi,Menimbulkan infeksi lokal,Mempercepat absorpsi insulin berlebihan,B,"Suntikan berulang pada titik yang sama dapat menyebabkan lipodistrofi/lipohipertrofi, sehingga absorpsi insulin tidak stabil. Karena itu lokasi suntikan harus dirotasi.",,,
15,55,ENDOKRIN,"Seorang wanita hamil berusia 8 minggu, sedang dalam pengobatan untuk hipertiroidisme dengan Propylthiouracil (PTU) 3x100 mg. Pasien juga memiliki riwayat asma dan membutuhkan pilihan terapi tambahan untuk mengelola gejala takikardia akibat hipertiroidisme-nya. Apa pilihan obat yang paling tepat untuk pasien tersebut?",Propranolol,Nadolol,Esmolol,Labetalol,Timolol,C,"Untuk gejala takikardia, beta-blocker dapat digunakan. Namun pada pasien asma, beta-blocker nonselektif seperti propranolol/timolol lebih berisiko memicu bronkospasme. Esmolol lebih selektif beta-1 dan kerja singkat, sehingga lebih rasional pada opsi yang tersedia.",,,
16,56,ENDOKRIN,"Seorang pria (63 thn) didiagnosis Diabetes Melitus Tipe 2 dengan kadar HbA1c 7,8%. Dokter meresepkan terapi kombinasi Metformin dan insulin Lantus. Namun, stok Insulin Lantus di apotek sedang kosong. Insulin apakah yang dapat menggantikan stok yang kosong?",Novorapid,Humalog,Apidra,Levemir,Humulin R,D,"Lantus adalah insulin glargine, yaitu insulin basal kerja panjang. Pengganti yang paling sesuai di opsi adalah Levemir/insulin detemir, karena sama-sama basal insulin.",,,
17,57,ENDOKRIN,"Seorang wanita berusia 50 tahun menderita Diabetes Melitus tipe 2 dan sedang mendapatkan obat acarbose 25 mg dengan aturan pakai 3 kali sehari. Setelah mengonsumsi Acarbose, pasien mengeluh mengalami flatulen. Tidak nyaman dengan kondisinya, pasien berkonsultasi dengan apoteker terkait efek samping obat yang sedang dikonsumsinya. Bagaimanakah mekanisme acarbose menyebabkan keluhan tersebut?",Meningkatkan sekresi asam lambung yang memicu produksi gas berlebih di lambung,Memperlambat motilitas usus sehingga meningkatkan produksi gas oleh bakteri usus halus,Menghambat absorpsi karbohidrat sehingga terfermentasi oleh bakteri di usus dan menghasilkan gas,Menghambat enzim amilase di lambung sehingga menyebabkan fermentasi karbohidrat di lambung,Menghambat penyerapan air di usus besar sehingga meningkatkan volume gas dalam usus,C,"Acarbose menghambat alfa-glukosidase sehingga pemecahan/absorpsi karbohidrat tertunda. Karbohidrat yang tidak tercerna difermentasi bakteri usus dan menghasilkan gas, menyebabkan flatulen.",,,
18,58,ENDOKRIN,"Seorang wanita (50 thn) menderita Diabetes Tipe 2 dengan kondisi obesitas. Meskipun sudah menggunakan Metformin, gula darahnya tetap tinggi. Dokter ingin menambahkan obat yang efektif menurunkan gula darah sekaligus membantu penurunan berat badan. Obat apakah yang dapat direkomendasikan pada pasien tersebut?",Glimepirid,Nateglinide,Pioglitazone,Liraglutide,Insulin lispro,D,"Liraglutide adalah agonis reseptor GLP-1 yang membantu menurunkan glukosa dan dapat membantu penurunan berat badan, cocok pada DM tipe 2 dengan obesitas.",,,
19,59,ENDOKRIN,Pasien usia 40 tahun datang ke apotek anda menanyakan ketidaknyamanan dari terapi yang dikonsumsinya selama 4 bulan terakhir. Diketahui pasien tersebut baru didiagnosis DM dan mendapat terapi acarbose. Efek samping yang mungkin menyebabkan ketidaknyamanan pada terapi tersebut adalah?,Infeksi saluran kemih,Flatulen,Hipoglikemik,Defisiensi Vit. B12,Fraktur,B,"Acarbose sering menimbulkan efek samping gastrointestinal, terutama kembung dan flatulen, akibat fermentasi karbohidrat yang tidak tercerna.",,,
20,60,ENDOKRIN,"Seorang wanita hamil (18 minggu) didiagnosis Hipertiroid dengan gejala tremor, jantung berdebar, dan bengkak kelenjar leher. Hasil lab menunjukkan TSH rendah dan T4 sangat tinggi. Dokter perlu memberikan terapi antitiroid yang aman untuk ibu dan janin pada usia kehamilan tersebut. Apakah terapi yang disarankan untuk mengatasi kondisi wanita tersebut?",Methimazole,Bisoprolol,PTU,Liothironin,Larutan lugol,A,"Pada trimester pertama, PTU lebih dipilih. Setelah melewati trimester pertama, methimazole umumnya lebih dipilih karena risiko hepatotoksisitas PTU. Kehamilan 18 minggu termasuk trimester kedua.",,,
21,61,BIOLOGI SEL DAN MOLEKULER,Ciri utama yang membedakan sel eukariotik dengan sel prokariotik adalah...,Sel eukariotik tidak memiliki ribosom,Sel eukariotik memiliki membran inti,Sel prokariotik memiliki mitokondria,Sel prokariotik memiliki badan Golgi,Sel eukariotik tidak memiliki DNA,B,"Sel eukariotik memiliki inti sel yang dibatasi oleh membran inti. Contohnya sel manusia, hewan, tumbuhan, dan jamur. Sedangkan sel prokariotik seperti bakteri tidak memiliki membran inti, sehingga DNA-nya berada bebas di sitoplasma pada daerah yang disebut nukleoid.",,,
22,62,BIOLOGI SEL DAN MOLEKULER,Organel yang berperan utama dalam sintesis protein yang akan disekresikan keluar sel adalah...,Mitokondria,Lisosom,Retikulum endoplasma kasar,Sentriol,Peroksisom,C,"Retikulum endoplasma kasar memiliki ribosom yang menempel pada permukaannya. Ribosom ini berfungsi untuk membuat protein, terutama protein yang akan disekresikan keluar sel atau dikirim ke membran sel.",,,
23,63,BIOLOGI SEL DAN MOLEKULER,"Organel yang disebut sebagai ""pembangkit energi"" sel karena menghasilkan ATP adalah...",Nukleus,Mitokondria,Lisosom,Ribosom,Badan Golgi,B,"Mitokondria menghasilkan ATP melalui proses respirasi seluler, terutama melalui fosforilasi oksidatif. ATP digunakan sebagai sumber energi utama untuk berbagai aktivitas sel.",,,
24,64,BIOLOGI SEL DAN MOLEKULER,Lisosom berfungsi untuk...,Menyimpan informasi genetik,Menghasilkan ATP,Mencerna zat sisa dan organel yang rusak,Membentuk benang spindel,Menyintesis lipid,C,"Lisosom mengandung enzim hidrolitik yang bekerja pada pH asam. Fungsinya adalah mencerna zat asing, sisa metabolisme, dan organel yang sudah rusak melalui proses autofagi",,,
25,65,BIOLOGI SEL DAN MOLEKULER,Struktur dasar membran sel tersusun atas...,Lapisan DNA dan RNA,Fosfolipid bilayer dan protein,Karbohidrat murni,Protein murni,Kolesterol tanpa lipid,B,"Membran sel tersusun atas dua lapis fosfolipid atau fosfolipid bilayer. Selain itu terdapat protein membran, kolesterol, dan karbohidrat. Struktur ini dikenal dengan model mosaik fluida.",,,
26,66,BIOLOGI SEL DAN MOLEKULER,Bagian fosfolipid yang bersifat hidrofilik adalah...,Ekor asam lemak,Kepala fosfat,Rantai karbon,Kolesterol,Protein integral,B,"Fosfolipid memiliki kepala fosfat yang bersifat hidrofilik atau suka air, sedangkan ekor asam lemak bersifat hidrofobik atau tidak suka air. Sifat ini menyebabkan fosfolipid membentuk bilayer pada membran sel.",,,
27,67,BIOLOGI SEL DAN MOLEKULER,Reseptor yang bekerja melalui protein G dan second messenger seperti cAMP disebut...,Reseptor kanal ion,Reseptor tirosin kinase,G protein-coupled receptor,Reseptor intraseluler,Reseptor nuklear,C,"G protein-coupled receptor atau GPCR adalah reseptor membran yang bekerja melalui protein G. Aktivasi GPCR dapat memicu terbentuknya second messenger seperti cAMP, IP3, atau DAG. Contoh obat yang bekerja pada GPCR adalah agonis beta-2 seperti salbutamol.",,,
28,68,BIOLOGI SEL DAN MOLEKULER,Proses pembentukan RNA dari cetakan DNA disebut...,Translasi,Transkripsi,Replikasi,Mutasi,Denaturasi,B,"Transkripsi adalah proses pembentukan RNA menggunakan DNA sebagai cetakan. Pada sel eukariotik, proses ini terjadi di dalam nukleus",,,
29,69,BIOLOGI SEL DAN MOLEKULER,Proses pembentukan protein berdasarkan kode pada mRNA disebut...,Transkripsi,Translasi,Replikasi,Glikolisis,Apoptosis,B,Translasi adalah proses penerjemahan kode genetik pada mRNA menjadi urutan asam amino untuk membentuk protein. Proses ini terjadi di ribosom.,,,
30,70,BIOLOGI SEL DAN MOLEKULER,Urutan aliran informasi genetik yang benar menurut dogma sentral biologi molekuler adalah...,Protein → RNA → DNA,RNA → DNA → Protein,DNA → RNA → Protein,DNA → Protein → RNA,Protein → DNA → RNA,C,"Dogma sentral menjelaskan bahwa informasi genetik mengalir dari DNA ke RNA melalui transkripsi, kemudian dari RNA ke protein melalui translasi.",,,
